z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
26,31,Fe,3.7532,0.0017,2.119,0.029,,0,,,1/2-,STABLE,,,,,,,,,,,,,,,2-May,0.09064,0.00007,0.16,0.008,-836.3589,0.4493,-12212.817,0.4106,-7319.315,0.2752,-2695.738,1.529,7646.1716,0.0169,10559.3218,0.2072,8770.2829,0.0047,56935391.95,0.287,-60182.017,0.268,N,1935,24-Sep-98,M. R. BHAT,10/18/23
26,32,Fe,3.7745,0.0014,0.282,0.012,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.94,0.05,-0.27,0.05,-2307.9785,1.1389,-10880.9312,0.5035,-7644.8077,0.3219,-6327.703,2.719,10044.5723,0.1808,11957.9628,1.5313,8792.2534,0.0055,57933273.58,0.339,-62155.271,0.316,N,1935,12-Jan-10,CAROLINE D. NESARAJA and  SCOTT D. GERAEDTS AND BALRAJ SINGH,10/18/23
27,32,Co,3.7875,0.0021,100,,,0,,,7/2-,STABLE,,,,,,,,,,,,,,,,4.615,0.025,0.42,0.03,-1073.005,0.1944,-10072.2847,0.2004,-6942.2118,0.3435,-1564.881,0.516,10453.8636,1.1021,7363.538,0.3543,8768.0379,0.0067,58933193.52,0.426,-62229.838,0.397,N,1923,1-Apr-18,M. Shamsuzzoha Basunia,10/18/23
28,30,Ni,3.7757,0.002,68.0769,0.019,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.076,0.017,-0.1,0.06,-8561.0204,0.4425,-20991.1751,0.4492,-6399.1718,0.3508,-381.579,1.205,12216.2285,0.4965,8172.1845,0.427,8732.0621,0.006,57935341.65,0.374,-60228.871,0.349,N,1921,12-Jan-10,CAROLINE D. NESARAJA and  SCOTT D. GERAEDTS AND BALRAJ SINGH,10/18/23
28,32,Ni,3.8118,0.0016,26.2231,0.015,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.32,0.06,-0.1,0.02,-6127.981,1.5735,-16186.107,0.4004,-6290.9959,0.258,-2822.806,0.536,11387.7284,0.0498,9532.3764,0.2003,8780.7769,0.0059,59930785.13,0.378,-64473.243,0.353,N,1921,31-Dec-12,E. BROWNE and  J. K. TULI,10/18/23
28,33,Ni,3.8225,0.0019,1.1399,0.0013,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,-0.74965,0.00005,0.162,0.015,-2237.9663,0.9617,-13948.0848,1.5742,-6464.9281,0.2616,-1323.85,0.91,7820.1037,0.0477,9860.5625,0.2176,8765.0281,0.0058,60931054.82,0.381,-64222.029,0.355,N,1934,20-Jan-20,BALRAJ SINGH,10/18/23
28,34,Ni,3.8399,0.0021,3.6345,0.004,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-3958.8965,0.4751,-12833.6951,0.9518,-7016.0846,0.4151,-5322.041,18.579,10595.7288,0.3059,11137.2322,0.7313,8794.5555,0.0069,61928344.75,0.455,-66746.44,0.425,N,1934,15-Apr-12,ALAN L. NICHOLS and  BALRAJ SINGH and  JAGDISH K. TULI,10/18/23
28,36,Ni,3.8572,0.0023,0.9256,0.0019,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.37,0.06,0.4,0.2,-1674.6156,0.2055,-9590.4836,0.2041,-8110.7755,3.4222,-7306.592,20.01,9657.4604,0.2035,12536.4519,18.5696,8777.4637,0.0072,63927966.23,0.497,-67099.034,0.463,N,1935,12-Nov-21,Balraj Singh and Jun Chen,10/18/23
29,34,Cu,3.8823,0.0015,69.15,0.15,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,2.2259,0.0004,-0.22,0.015,-3366.4392,1.545,-12483.0979,0.4485,-5774.9461,0.3699,-66.977,0.602,10863.6431,0.4787,6122.3996,0.0586,8752.1404,0.0068,62929597.12,0.457,-65579.868,0.426,N,1923,28-Aug-08,HUO JUNDE and  YANG DONG and  HUO MEIRONG and ,10/18/23
29,36,Cu,3.9022,0.0014,30.85,0.15,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,2.3844,0.0004,-0.204,0.014,-1351.6527,0.3557,-9330.9775,0.3851,-6790.4145,0.9801,-2137.881,0.804,9910.5771,0.6589,7453.6145,0.686,8757.0967,0.0099,64927789.48,0.69,-67263.677,0.643,N,1923,1-Aug-09,E. BROWNE and  J. K. TULI,10/18/23
30,34,Zn,3.9283,0.0015,49.17,0.75,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2,0.6,-0.14,0.02,-7171.1912,1.4825,-17528.2362,1.4543,-3955.6904,0.6596,-579.6,0.7,11861.9068,1.4774,7713.1206,0.6447,8735.9057,0.0101,63929141.78,0.69,-66004.018,0.644,N,1922,12-Nov-21,Balraj Singh and Jun Chen,10/18/23
30,36,Zn,3.9491,0.0014,27.73,0.98,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.06,0.16,0.24,0.08,-5175.5,0.8,-14313.0602,1.0358,-4577.7049,0.6897,-2640.94,0.98,11058.5222,0.9172,8924.5225,0.9215,8759.6335,0.0113,65926033.64,0.798,-68899.229,0.744,N,1922,3-Mar-09,E. BROWNE and  J. K. TULI,10/18/23
30,37,Zn,3.953,0.0027,4.04,0.16,,0,,,5/2-,STABLE,,,,,,,,,,,,,,,,0.87485,0.00016,0.122,0.01,-1001.2201,1.1196,-12227.9655,0.8334,-4792.4005,0.7066,-560.823,1.169,7052.4655,0.2337,8911.0581,0.9365,8734.1534,0.0113,66927127.42,0.81,-67880.376,0.755,N,1928,1-Apr-05,HUO JUNDE and  HUANG XIAOLONG and  J.K. TULI,10/18/23
30,38,Zn,3.9658,0.0014,18.45,0.63,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.08,0.16,-0.106,0.016,-2921.1,1.2,-11199.3165,1.1359,-5333.0365,0.7579,-4440.111,1.765,10198.0963,0.1927,9976.572,0.8514,8755.682,0.0115,67924844.23,0.835,-70007.154,0.778,N,1922,1-Mar-12,E.A. McCutchan,10/18/23
31,38,Ga,3.9973,0.0017,60.108,0.05,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,2.01502,0.00006,0.171,0.002,-2227.1455,0.55,-10420.3389,2.2259,-4489.0583,1.3579,-909.914,1.437,10313.0833,1.8549,6609.6363,1.4144,8724.5798,0.0174,68925573.53,1.285,-69327.82,1.197,N,1923,31-Jul-13,C.D. NESARAJA,10/18/23
31,40,Ga,4.0118,0.0018,39.892,0.05,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,2.56033,0.00009,0.107,0.001,-232.4698,0.0934,-7648.4085,0.1411,-5244.489,1.1615,-2810.341,2.775,9300.2946,1.4471,7863.3497,2.0783,8717.605,0.0114,70924702.55,0.87,-70139.127,0.811,N,1923,17-Jan-23,Balraj Singh and Jun Chen,10/18/23
32,38,Ge,4.0414,0.0012,20.52,0.19,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.64,0.1,0.03,0.06,-6228.063,1.62,-15521.1729,32.0098,-4087.7235,1.0276,-1651.886,1.454,11532.6802,1.55,8523.1877,1.4492,8721.7028,0.0117,69924248.54,0.88,-70562.036,0.82,N,1923,1-Jul-16,G. G~URDAL and  E.A. MCCUTCHAN,10/18/23
32,40,Ge,4.0576,0.0013,27.45,0.15,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1,0.3,,,-4356.1019,4.0825,-12763.9714,4.1637,-5003.6716,0.7821,-3997.626,0.822,10750.5714,0.8184,9735.7546,0.8145,8731.7459,0.0011,71922075.82,0.081,-72585.91,0.076,N,1923,1-May-09,D. Abriola(a) and  A.A. Sonzogni,10/18/23
32,41,Ge,4.0632,0.0014,7.76,0.08,,0,,,9/2+,STABLE,,,,,,,,,,,,,,,,,,-0.196,0.001,-344.7759,3.8528,-11139.0422,4.0828,-5304.542,0.7968,-1598.189,1.678,6782.9403,0.05,9998.2196,0.8202,8705.05,0.0008,72923458.95,0.061,-71297.532,0.057,N,1933,16-May-19,BALRAJ SINGH and JUN CHEN,10/18/23
32,42,Ge,4.0742,0.0012,36.52,0.12,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.75,0.15,-0.19,0.02,-2562.3871,1.6931,-10541.0125,3.8531,-6282.6188,1.9178,-5372.825,2.994,10196.2366,0.0555,11012.0785,1.6767,8725.2011,0.0003,73921177.76,0.013,-73422.451,0.013,N,1923,30-Apr-06,BALRAJ SINGH and  AMEENAH R. FARHAN,10/18/23
32,44,Ge,4.0811,0.0012,7.75,0.12,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.64,0.1,-0.19,0.06,-921.5145,0.8864,-8250.0132,0.8839,-7492.3194,2.1425,-6916.25,1.95,9427.2434,0.0543,12041.23,0.6709,8705.2364,0.0003,75921402.73,0.019,-73212.898,0.018,N,1933,22-Dec-94,BALRAJ SINGH,10/18/23
33,42,As,4.0968,0.002,100,,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,1.4383,0.0003,0.311,0.002,-864.7139,0.8816,-8892.3105,0.8837,-5319.9921,1.1995,-1177.23,0.88,10245.4572,1.9099,6900.7231,0.8837,8700.8748,0.0118,74921594.56,0.948,-73034.203,0.884,N,1920,30-Jun-13,ALEXANDRU NEGRET and  BALRAJ SINGH,10/18/23
34,40,Se,4.07,0.02,0.86,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.7,0.3,-0.36,0.07,-6925.0492,5.8354,-16638.742,6.7413,-4076.0901,0.82,-1353.146,1.693,12057.1324,7.4237,8549.425,3.8531,8687.7155,0.0003,73922475.93,0.015,-72213.21,0.015,N,1922,30-Apr-06,BALRAJ SINGH and  AMEENAH R. FARHAN,10/18/23
34,42,Se,4.1395,0.0016,9.23,0.07,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.61,0.11,,,-4962.881,9.3218,-14216.2577,4.2849,-5090.965,0.0772,-2960.575,0.886,11153.7883,0.0746,9506.7274,0.8839,8711.4781,0.0003,75919213.7,0.017,-75251.959,0.016,N,1922,22-Dec-94,BALRAJ SINGH,10/18/23
34,43,Se,4.1395,0.0018,7.6,0.07,,0,,,1/2-,STABLE,,,,,,,,,,,,,,,,0.53356,0.00005,0.76,0.05,-1364.6792,2.8099,-12381.7367,9.322,-5726.8804,0.0843,-683.163,1.693,7418.8557,0.0603,9597.0844,0.8879,8694.6908,0.0008,76919914.15,0.067,-74599.497,0.062,N,1922,30-Sep-20,BALRAJ SINGH,10/18/23
34,44,Se,4.1406,0.0017,23.69,0.22,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.6,0.2,-0.26,0.09,-3573.7836,3.575,-11862.4519,2.815,-6028.4165,0.1791,-4208.982,9.781,10497.7727,0.1684,10398.5884,1.6962,8717.8072,0.0023,77917309.24,0.191,-77025.952,0.179,N,1922,30-Jun-09,AMEENAH R. FARHAN and  BALRAJ SINGH,10/18/23
34,46,Se,4.14,0.0018,49.8,0.36,,0,,,0+,STABLE,,,,,,2B-,,,,,,,,,,2.3,0.9,,,-1870.4623,0.3095,-9762.7379,0.3369,-6971.505,0.9469,-5544.886,3.465,9913.3395,0.9653,11412.3774,5.2406,8710.8142,0.0118,79916521.76,1.016,-77759.487,0.947,N,1922,22-Jun-05,BALRAJ SINGH,10/18/23
35,44,Br,4.1629,0.0021,50.65,0.09,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,2.1046,0.0006,0.3087,0.0002,-1625.7778,3.3333,-9961.1022,1.0408,-5458.7803,1.3346,-150.601,1.026,10687.2175,3.715,6331.0869,1.01,8687.5956,0.0127,78918337.57,1.074,-76068.067,1.001,N,1920,31-May-16,BALRAJ SINGH,10/18/23
35,46,Br,4.1599,0.0021,49.35,0.09,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,2.2686,0.0006,0.2579,0.0002,-280.8517,0.4713,-8154.9139,1.1756,-6485.6324,1.9533,-1588.032,1.382,10159.3438,1.3901,7506.5346,1.3576,8695.9465,0.0121,80916288.2,1.049,-77977.051,0.978,N,1920,15-Aug-08,CORAL M. BAGLIN,10/18/23
36,42,Kr,4.2038,0.0033,0.355,0.003,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.8,0.4,,,-7242.856,3.252,-17419.1015,1.3397,-4389.9886,0.3073,-726.115,3.593,12080.1499,1.9801,8232.4366,2.8261,8661.2385,0.0039,77920366.34,0.329,-74178.283,0.307,N,1920,30-Jun-09,AMEENAH R. FARHAN and  BALRAJ SINGH,10/18/23
36,44,Kr,4.197,0.0029,2.286,0.01,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-5717.9785,1.9883,-15161.9948,2.0562,-5066.4115,0.6948,-2004.43,1.21,11522.4833,3.5257,9114.3586,1.1486,8692.9301,0.0087,79916377.94,0.745,-77893.455,0.695,N,1920,22-Jun-05,BALRAJ SINGH,10/18/23
36,46,Kr,4.1919,0.0025,11.593,0.031,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.8,0.13,,,-4403.9824,3.0088,-13206.4095,4.9043,-5990.7594,0.1787,-3093.118,0.971,10966.9141,1.0737,9903.7154,0.9779,8710.6754,0.0003,81913481.15,0.00591,-80591.79509,0.00551,N,1920,1-Mar-19,J. K. TULI and  E. BROWNE,10/18/23
36,47,Kr,4.1871,0.0023,11.5,0.019,,0,,,9/2+,STABLE,,,,,,,,,,,,,,,,-0.97073,0.000003,0.259,0.001,-920.0039,2.3288,-11874.1487,3.0088,-6498.0934,0.2227,-976.922,3.795,7470.1663,0.0093,9780.9378,0.9714,8695.7295,0.0003,82914126.52,0.009,-79990.643,0.009,N,1920,31-Dec-14,E.A. MCCUTCHAN,10/18/23
36,48,Kr,4.1884,0.0022,56.987,0.015,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-2680.3708,2.194,-11440.0239,2.3287,-7104.7739,0.9468,-4656.251,25.73,10520.02,0.0083,10714.5952,3.7947,8717.4473,0.0003,83911497.73,0.0041,-82439.34527,0.00382,N,1920,30-Sep-09,J.K. Tuli and  A. Luca and  S. Juutinen and  and B. Singh,10/18/23
36,50,Kr,4.1835,0.0021,17.279,0.041,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.2,0.4,,,-518.6734,0.2,-9169.6533,0.0035,-8096.6968,0.4659,-7633.415,3.078,9856.6533,2,11979.1686,3.0778,8712.0295,0.0003,85910610.62,0.00399,-83265.67593,0.00372,N,1920,30-Nov-14,ALEXANDRU NEGRET and  BALRAJ SINGH,10/18/23
37,48,Rb,4.2036,0.0024,72.17,0.02,,0,,,5/2-,STABLE,,,,,,,,,,,,,,,,1.35306,0.00004,0.276,0.001,-1064.051,2.8132,-9589.0784,1.2432,-6615.2058,0.978,-687,2,10479.6842,2.194,7016.9664,0.0037,8697.4416,0.0003,84911789.74,0.00537,-82167.34065,0.005,N,1921,31-Dec-13,BALRAJ SINGH AND JUN CHEN,10/18/23
38,46,Sr,4.2394,0.0024,00.56,0.02,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2,1,,,-6755.1411,4.4114,-16515.2264,18.6721,-5181.0413,1.4241,-890.605,2.522,11923.2828,6.9457,8867.9119,2.6398,8677.5132,0.0148,83913419.12,1.334,-80649.58,1.243,N,1936,30-Sep-09,B. Singh and  A. Negret and  and K. Zuber,10/18/23
38,48,Sr,4.2307,0.002,9.86,0.2,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.8,0.3,,,-5240,14.1421,-14752.2866,18.9654,-6356.2206,0.0056,-1776.097,0.2,11491.1281,2.8132,9644.7302,0.0051,8708.4566,0.0003,85909260.72,0.00563,-84523.09977,0.00524,N,1931,30-Nov-14,ALEXANDRU NEGRET and  BALRAJ SINGH,10/18/23
38,49,Sr,4.2249,0.0019,7,0.2,,0,,,9/2+,STABLE,,,,,,,,,,,,,,,,-1.09316,0.00011,0.305,0.002,-1861.6894,1.1278,-13668.2947,14.1421,-7314.349,0.0091,-282.274,0.008,8428.2947,0.0052,9422.0449,0.2001,8705.2363,0.0003,86908877.49,0.0055,-84880.07643,0.00513,N,1931,27-Jul-15,T.D. Johnson and W.D. Kulp(a),10/18/23
38,50,Sr,4.224,0.0018,82.58,0.35,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.4,0.4,,,-3622.6,1.5,-12974.5598,1.1278,-7907.1994,0.0044,-5312.625,0.159,11112.8704,0.0055,10612.7983,0.0067,8732.5958,0.0003,87905612.25,0.006,-87921.62876,0.00561,N,1923,1-Nov-13,E.A. McCutchan and A.A. Sonzogni,10/18/23
39,50,Y,4.243,0.0021,100,,,0,,,1/2-,STABLE,,,,,,,,,,,,,,,,-0.137298,0.000005,,,-2833.2285,2.7652,-12153.6464,5.4139,-7968.7774,0.3387,-1502.176,0.351,11483.4915,1.5378,7078.5445,0.3388,8714.011,0.0038,88905838.16,0.363,-87711.202,0.339,N,1923,20-Oct-12,BALRAJ SINGH,10/18/23
40,50,Zr,4.2694,0.001,51.45,0.04,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.5,0.6,-0.44,0.03,-6111.0165,3.3163,-16218.1107,23.6299,-6674.3634,0.1179,-2275.635,0.373,11965.8916,2.7812,8350.3161,0.3585,8709.9699,0.0013,89904698.76,0.126,-88772.547,0.118,N,1924,1-Mar-20,S. K. Basu and  E.A. MCCUTCHAN,10/18/23
40,51,Zr,4.2845,0.0013,11.22,0.05,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,-1.3022,0.0004,-0.176,0.003,-1257.5644,2.9243,-13305.3793,3.3183,-5440.4314,0.0947,-1544.271,1.845,7194.3628,0.1464,8687.6508,0.3661,8693.3149,0.0011,90905640.21,0.101,-87895.592,0.095,N,1934,1-Sep-13,Coral M. Baglin,10/18/23
40,52,Zr,4.3057,0.0013,17.15,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,,-2,0.4,,,-2005.7335,1.7823,-9892.3143,2.9246,-2962.3109,0.0943,-3642.53,9.12,8634.7499,0.0391,9396.6739,1.8407,8692.6783,0.0011,91905035.34,0.101,-88459.024,0.094,N,1924,15-Sep-12,CORAL M. BAGLIN,10/18/23
40,54,Zr,4.332,0.0013,17.38,0.04,,0,,,0+,STABLE,,,,,,,,,,,,,,,,-3.2,1.6,,,-900.2684,1.5,-8127.8096,1.4993,-3743.3025,1.458,-4917.859,6.382,8218.6219,0.4841,10331.1472,10.4894,8666.8016,0.0018,93906312.52,0.175,-87269.332,0.164,N,1924,1-Jan-06,D. Abriola(a) and  A.A. Sonzogni,10/18/23
41,52,Nb,4.324,0.0017,100,,,0,,,9/2+,STABLE,,,,,,,,,,,,,,,,6.163,0.002,-0.32,0.02,-405.7609,1.5012,-8475.5709,1.4985,-1926.5536,1.5283,-90.812,1.558,8830.8677,1.9863,6042.7872,1.4892,8664.1849,0.016,92906373.17,1.599,-87212.84,1.49,N,1932,15-Dec-10,CORAL M. BAGLIN,10/18/23
42,50,Mo,4.3151,0.0012,14.649,0.106,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.3,0.3,,,-7882.8841,3.1063,-18893.2478,2.3679,-5604.6291,5.4055,-355.297,1.791,12671.071,6.2392,7459.5306,2.9299,8657.7312,0.0017,91906807.15,0.168,-86808.587,0.157,N,1930,15-Sep-12,CORAL M. BAGLIN,10/18/23
42,52,Mo,4.3529,0.0013,9.187,0.033,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-4255.7476,4.0687,-12879.2813,1.022,-2066.4479,0.1838,-2045.016,1.498,9678.3184,0.2292,8490.2105,1.4929,8662.3341,0.0015,93905083.59,0.151,-88414.079,0.141,N,1930,1-Jan-06,D. Abriola(a) and  A.A. Sonzogni,10/18/23
42,53,Mo,4.3628,0.0018,15.873,0.03,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,-0.9132,0.0003,-0.022,0.001,-1690.5175,5.0782,-11624.8587,4.0698,-2241.1963,0.1555,-925.6,0.5,7369.1111,0.0944,8631.7804,1.4935,8648.7212,0.0013,94905837.44,0.132,-87711.872,0.123,N,1930,30-Jun-09,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,10/18/23
42,54,Mo,4.3847,0.0015,16.673,0.008,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.79,0.06,-0.2,0.08,-2973.2411,5.145,-10844.8526,5.0784,-2760.7814,0.1522,-3192.059,0.19,9154.335,0.0491,9297.5889,0.4961,8653.988,0.0013,95904674.77,0.128,-88794.889,0.12,N,1930,1-Apr-08,D. Abriola(a) and  A.A. Sonzogni,10/18/23
42,55,Mo,4.388,0.0015,9.582,0.015,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,-0.9324,0.0003,0.255,0.013,-320.264,4.1169,-9794.3703,5.1475,-2847.5887,0.4843,-1941.903,4.247,6821.1292,0.163,9230.8411,0.1897,8635.0926,0.0017,96906016.9,0.176,-87544.7,0.165,N,1930,19-Nov-09,N. NICA,10/18/23
42,56,Mo,4.4091,0.0018,24.292,0.08,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.97,0.06,-0.26,0.09,-1683.7664,3.3768,-8962.8619,4.1173,-3271.5647,0.2388,-4591.368,5.004,8642.5979,0.0647,9802.1547,4.244,8635.1691,0.0018,97905403.61,0.186,-88115.98,0.174,N,1930,15-Feb-20,Jun Chen and  Balraj Singh,10/18/23
44,52,Ru,4.3908,0.0047,5.54,0.14,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.3,0.3,-0.15,0.08,-6392.6529,10,-15811.0867,3.8895,-1696.7139,0.2313,-258.737,5.149,10693.9444,9.5004,7348.0013,5.0798,8609.413,0.0018,95907588.91,0.182,-86080.385,0.17,N,1931,1-Apr-08,D. Abriola(a) and  A.A. Sonzogni,10/18/23
44,54,Ru,4.4229,0.0055,1.87,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-5049.6529,10,-13698.6252,36.0471,-2235.708,6.464,-1792.657,7.293,10175.6252,7.0282,8289.406,7.6627,8620.314,0.0659,97905286.71,6.937,-88224.871,6.463,N,1944,15-Feb-20,Jun Chen and  Balraj Singh,10/18/23
44,55,Ru,4.4338,0.0042,12.76,0.14,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,,,0.079,0.004,-2040.8632,19.4529,-12521.4844,11.9113,-2338.4283,0.3639,-297.516,0.971,7471.8315,6.4715,8482.142,3.3929,8608.7132,0.0035,98905930.28,0.368,-87625.385,0.343,N,1931,1-Jul-17,E. BROWNE and  J. K. TULI,10/18/23
44,56,Ru,4.4531,0.0031,12.6,0.07,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-3636.2612,18.1231,-11714.1876,19.4529,-2857.4178,0.3617,-3206.44,1.39,9673.3245,0.0257,9188.4931,0.9451,8619.3593,0.0034,99904210.46,0.367,-89227.391,0.342,N,1931,31-Jan-21,Balraj Singh and Jun Chen,10/18/23
44,57,Ru,4.4606,0.002,17.06,0.02,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,-0.718,0.006,0.46,0.02,-545.6846,5.8518,-10438.3007,18.1246,-2838.3281,0.4434,-1613.52,24,6802.0395,0.2348,9226.1326,1.3955,8601.366,0.0041,100905573.1,0.443,-87958.113,0.413,N,1931,1-Jul-06,JEAN BLACHOT,10/18/23
44,58,Ru,4.4809,0.0018,31.55,0.14,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-2323.1187,6.396,-9765.3248,5.852,-3415.3703,0.4495,-4533.514,9.175,9219.6402,0.05,10050.8132,24.0001,8607.4275,0.0041,101904340.3,0.446,-89106.435,0.416,N,1931,31-Dec-08,D. DE FRENNE,10/18/23
44,60,Ru,4.5098,0.002,18.62,0.27,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-1136.4195,3.3643,-8135.3761,3.3633,-4327.6506,2.4953,-5596.794,25.011,8899.9139,2.4916,10780.8143,9.4868,8587.3998,0.024,103905425.3,2.682,-88095.763,2.498,N,1931,30-Mar-07,JEAN BLACHOT,10/18/23
45,58,Rh,4.4945,0.0023,100,,,0,,,1/2-,STABLE,,,,,,,,,,,,,,,,-0.08829,0.00003,,,-574.7252,2.3928,-8200.0605,2.2649,-3128.7521,2.4642,-764.537,2.343,9319.7075,6.785,6214.2417,2.2644,8584.1927,0.0223,102905494.1,2.47,-88031.705,2.301,N,1934,1-Mar-09,D. DE FRENNE,10/18/23
46,56,Pd,4.4827,0.0044,1.02,0.01,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.82,0.06,-0.2,0.15,-5656.2615,8.1816,-14639.8969,4.8562,-2103.0075,6.4759,-1119.647,6.424,10542.1364,4.6048,7779.5061,5.8522,8580.2887,0.0041,101905632.3,0.449,-87902.963,0.419,N,1935,31-Dec-08,D. DE FRENNE,10/18/23
