z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
64,91,Gd,5.1319,0.0041,14.8,0.09,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,-0.2591,0.0004,1.27,0.03,-819.8588,9.7884,-9984.9096,45.2987,81.2659,0.6691,-251.961,1.592,6435.2581,0.182,7620.9025,0.7722,8213.2541,0.0063,154922629.4,1.055,-72070.298,0.983,N,1933,21-Oct-19,N. NICA,10/18/23
64,92,Gd,5.142,0.0042,20.47,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,,3.24,0.11,-1.93,0.04,-2444.323,3.6774,-9356.2119,9.7882,-197.2718,0.3303,-2452.489,3.666,8536.3531,0.0656,8005.9673,0.8704,8215.3253,0.0063,155922130.1,1.054,-72535.333,0.983,N,1933,1-Mar-12,C. W. REICH,10/18/23
64,93,Gd,5.1449,0.0042,15.65,0.04,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,-0.3398,0.0006,1.35,0.03,-60.0473,0.2972,-8804.2034,3.6805,-688.7523,0.3854,-1364.762,4.345,6359.8805,0.149,8030.0226,3.4113,8203.5072,0.0062,156923967.4,1.048,-70823.896,0.977,N,1933,4-Dec-15,N. NICA,10/18/23
64,94,Gd,5.1569,0.0043,24.84,0.08,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.55,0.12,-2.01,0.04,-1219.0862,0.9799,-7997.4392,0.3042,-659.3217,0.8962,-3419.508,2.254,7937.3919,0.0646,8519.8063,4.1969,8201.8229,0.0062,157924111.2,1.048,-70689.969,0.976,N,1933,1-Feb-17,N. NICA,10/18/23
64,96,Gd,5.1734,0.0044,21.86,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.5,0.2,-2.08,0.04,-105.5863,1.0207,-6480.7964,1.0184,-1006.2406,8.5036,-4448.611,1.442,7451.5206,0.7346,9187.6453,4.3645,8183.0171,0.007,159927061.2,1.206,-67942.06,1.123,N,1933,1-May-21,N. NICA,10/18/23
65,94,Tb,5.06,0.15,100,,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,2.009,0.004,1.432,0.008,-365.3613,1.1573,-7196.7477,2.4188,-139.1605,1.1453,-970.725,1.475,8133.0163,0.6383,6131.5832,0.7471,8188.8025,0.0069,158925353.7,1.184,-69532.582,1.103,N,1933,31-Dec-10,C. W. Reich,10/18/23
66,90,Dy,5.1622,0.2869,0.056,0.003,,0,,,0+,STABLE,,,,,,2EC,,,,,,,,,,,,,,-4990.9836,38.4111,-12560.9057,17.4635,1753.0013,0.3013,-438.376,3.895,9444.7652,9.602,6567.9182,9.7877,8192.4366,0.0063,155924283.6,1.06,-70529.386,0.988,N,1948,1-Mar-12,C. W. REICH,10/18/23
66,92,Dy,5.1815,0.3023,0.095,0.003,,0,,,0+,STABLE,,,,,,,,,,,,,,,,3.3,1,,,-4219.7555,27.0048,-11645.6076,23.5582,874.2903,2.4013,-936.269,2.659,9053.8008,5.1246,6932.2747,2.4093,8190.1298,0.0148,157924414.8,2.509,-70407.152,2.337,N,1938,1-Feb-17,N. NICA,10/18/23
66,94,Dy,5.1951,0.3139,2.329,0.018,,0,,,0+,STABLE,,,,,,,,,,,,,,,,3.1,0.6,1.8,0.4,-3290,15,-10414.1231,3.0223,437.9921,0.9994,-1835.951,1.312,8576.5231,1.3908,7428.8147,1.0945,8184.0526,0.0044,159925203.6,0.751,-69672.425,0.7,N,1938,1-May-21,N. NICA,10/18/23
66,95,Dy,5.1962,0.0459,18.889,0.042,,0,,,5/2+,STABLE,,,,,,A,,,,,,,,,,-0.479,0.003,2.51,0.02,-859.2003,2.1368,-9744.3869,15.0002,343.4857,0.9912,-593.716,1.403,6454.3869,0.0757,7507.9916,1.0998,8173.3093,0.0043,160926939.4,0.748,-68055.494,0.697,N,1934,1-Jun-11,C. W. Reich,10/18/23
66,96,Dy,5.2074,0.0172,25.475,0.036,,0,,,0+,STABLE,,,,,,,,,,,,,,,,3.6,0.7,,,-2140.6068,3.0926,-9056.1937,2.1378,83.8841,0.9906,-2301.621,2.164,8196.9934,0.06,8008.363,1.2015,8173.4555,0.0043,161926804.5,0.746,-68181.169,0.695,N,1934,1-Mar-07,C. W. Reich,10/18/23
66,97,Dy,5.2099,0.012,24.896,0.042,,0,,,5/2-,STABLE,,,,,,,,,,,,,,,,0.671,0.004,2.65,0.02,-2.8309,0.0222,-8411.6131,3.0926,-243.9163,0.9935,-1785.104,4.119,6271.0063,0.0466,7790.281,2.1634,8161.784,0.0043,162928737.2,0.744,-66380.858,0.693,N,1934,12-Apr-10,C. W. REICH and  BALRAJ SINGH,10/18/23
66,98,Dy,5.2218,0.0106,28.26,0.054,,0,,,0+,STABLE,,,,,,,,,,,,,,,,3.1,0.7,-2.08,0.15,-987.1315,1.371,-7660.94,0.0733,-450.5047,1.1051,-3862.666,1.988,7658.1091,0.0698,8660.8662,4,8158.7129,0.0042,163929180.8,0.746,-65967.649,0.695,N,1934,30-Nov-17,BALRAJ SINGH AND JUN CHEN{+#},10/18/23
67,98,Ho,5.2022,0.0312,100,,,0,,,7/2-,STABLE,,,,,,,,,,,,,,,,4.16,0.03,3.58,0.02,-376.6648,0.9575,-7026.7622,0.7565,138.8443,1.3174,-1285.728,1.051,7988.8182,1.1479,6219.3397,0.7482,8146.9591,0.0048,164930329.1,0.844,-64898.017,0.786,N,1934,15-Apr-06,ASHOK K. JAIN AND ANWESHA GHOSH and  BALRAJ SINGH,10/18/23
68,94,Er,5.2246,0.004,0.139,0.005,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-4856.7282,26.0475,-12506.8139,27.9551,1648.0256,2.2716,-293.647,3.193,9204.2301,8.7416,6426.8877,2.1584,8152.3959,0.0047,161928787.3,0.811,-66334.21,0.756,N,1938,1-Mar-07,C. W. Reich,10/18/23
68,96,Er,5.2389,0.0035,1.601,0.003,,0,,,0+,STABLE,,,,,,,,,,,,,,,,2.7,0.4,0,,-4033.6302,25.0113,-11285.4785,5.4722,1304.9362,0.1698,-962.056,1.558,8846.4785,4.5766,6853.5174,0.1336,8149.0191,0.0043,163929207.7,0.755,-65942.573,0.704,N,1938,30-Nov-17,BALRAJ SINGH AND JUN CHEN{+#},10/18/23
68,98,Er,5.2516,0.0031,33.503,0.036,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.5,0.2,-1.9,0.4,-3037.6667,11.547,-10065.4384,1.6889,832.109,0.7359,-1853.806,0.854,8474.1101,0.9506,7315.0984,0.7792,8141.9479,0.002,165930301.1,0.358,-64924.145,0.334,N,1934,1-Mar-08,CORAL M. BAGLIN,10/18/23
68,99,Er,5.256,0.0031,22.869,0.009,,0,,,7/2+,STABLE,,,,,,,,,,,,,,,,-0.5623,0.0004,3.57,0.03,-746.1392,1.2633,-9474.0958,11.5484,666.6862,0.7235,-1009.797,5.197,6436.4291,0.1787,7507.8878,0.7812,8131.7352,0.0017,166932056.2,0.306,-63289.256,0.286,N,1934,5-Jul-00,Coral M. Baglin,10/18/23
68,100,Er,5.2644,0.0035,26.978,0.018,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.96,0.04,-2.2,1,-1676.8526,1.6858,-8517.4328,1.2703,553.5017,0.7202,-2930,30,7771.2936,0.1188,7998.7437,5.1874,8129.5897,0.0016,167932378.3,0.28,-62989.231,0.262,N,1934,15-Jun-10,CORAL M. BAGLIN,10/18/23
68,102,Er,5.2789,0.0041,14.91,0.036,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-312.1997,1.7852,-6904.1777,1.7952,52.0409,1.6065,-3870,50,7257.6687,1.3905,8600.4752,20,8111.9529,0.0082,169935471.9,1.488,-60107.514,1.387,N,1934,1-Oct-18,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,10/18/23
69,100,Tm,5.2256,0.0035,100,,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,-0.231,0.0015,-1.2,0.1,-899.127,0.7563,-7766.1056,0.7409,1198.4473,1.0213,-353.491,0.798,8033.5936,1.5047,5574.394,0.7573,8114.4702,0.0044,168934219,0.792,-61274.654,0.738,N,1934,15-Jun-08,CORAL M. BAGLIN,10/18/23
70,98,Yb,5.2702,0.0056,0.123,0.003,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-4507.0351,37.9735,-12124.9034,37.2599,1937.7907,0.7073,-267.488,1.68,9061.2843,3.9604,6325.7212,1.2595,8111.887,0.0006,167933891.3,0.1,-61579.867,0.093,N,1938,15-Jun-10,CORAL M. BAGLIN,10/18/23
70,100,Yb,5.2853,0.0056,2.982,0.039,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.669,0.008,-2.18,0.03,-3457.695,16.843,-10752.7197,3.0053,1735.3,0.3335,-968.615,0.732,8459.7197,0.178,6778.2457,0.7383,8106.6101,0.0003,169934767.2,0.011,-60763.929,0.01,N,1938,1-Oct-18,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,10/18/23
70,101,Yb,5.2906,0.0057,14.086,0.14,,0,,,1/2-,STABLE,,,,,,,,,,,,,,,,0.4923,0.0004,-2.34,0.07,-1478.3526,1.8621,-10071.9024,16.843,1557.5217,0.2857,-96.547,0.972,6614.2073,0.0139,6800.4751,0.732,8097.8826,0.0003,170936331.5,0.013,-59306.818,0.013,N,1934,30-Jun-18,CORAL M. BAGLIN and  E.A. MCCUTCHAN,10/18/23
70,102,Yb,5.2995,0.0058,21.686,0.13,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.64,0.04,-2.22,0.04,-2519.3805,2.336,-9498.3089,1.8621,1308.859,0.2618,-1881.902,5.481,8019.9563,0.0167,7334.1562,0.9716,8097.4295,0.0003,171936386.7,0.014,-59255.456,0.014,N,1934,31-May-95,BALRAJ SINGH,10/18/23
70,103,Yb,5.3046,0.0059,16.103,0.063,,0,,,5/2-,STABLE,,,,,,,,,,,,,,,,-0.678,0.0006,2.8,0.04,-670.2201,1.5674,-8886.4764,2.336,945.013,0.3038,-1295.167,4.4,6367.0959,0.0152,7466.6514,5.4814,8087.4276,0.0003,172938216.2,0.012,-57551.234,0.011,N,1934,1-Oct-93,V. S. SHIRLEY,10/18/23
70,104,Yb,5.3108,0.006,32.025,0.08,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.672,0.005,-2.18,0.05,-1374.2287,1.5675,-8134.8246,1.5675,738.0772,1.387,-3080,44.7,7464.6045,0.0126,7977.4245,4.4,8083.8481,0.0003,173938867.5,0.011,-56944.521,0.011,N,1934,1-Nov-98,E. BROWNE and  HUO JUNDE,10/18/23
70,106,Yb,5.3215,0.0062,12.995,0.083,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-108.9895,1.2124,-6396.9621,1.207,566.34,3.9619,-4120,100,6867.0841,0.0717,8469.7371,50.0001,8064.0853,0.0003,175942574.7,0.015,-53491.322,0.014,N,1934,15-Sep-05,M.S. BASUNIA,10/18/23
71,104,Lu,5.37,0.0304,97.401,0.013,,0,,,7/2+,STABLE,,,,,,,,,,,,,,,,2.2257,0.0019,3.49,0.02,-683.9154,1.9516,-7392.4134,1.9242,1619.677,1.5494,-470.122,1.209,7666.7045,1.0001,5510.1288,1.2069,8069.1412,0.0069,174940777.2,1.295,-55165.678,1.207,N,1934,1-Jun-04,M. SHAMSUZZOHA BASUNIA,10/18/23
72,104,Hf,5.3286,0.0032,5.26,0.7,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.34,0.15,-2.1,0.02,-3211.0484,30.775,-10239.0931,27.9841,2254.1128,1.4824,-1194.095,1.914,8165.9828,1.7801,6699.7204,0.8869,8061.3604,0.0084,175941409.8,1.591,-54576.428,1.482,N,1934,15-Sep-05,M.S. BASUNIA,10/18/23
72,105,Hf,5.3309,0.0031,18.6,0.16,,0,,,7/2-,STABLE,,,,,,,,,,,,,,,,0.791,0.0009,3.37,0.03,-1166,3,-9586.684,30.7716,2245.5731,1.4103,-496.842,1.865,6375.6356,1.0181,6787.3833,0.8007,8051.8365,0.008,176943230.2,1.514,-52880.745,1.41,N,1934,30-Aug-19,F.G. KONDEV,10/18/23
72,106,Hf,5.3371,0.0031,27.28,0.28,,0,,,0+,STABLE,,,,,,,,,,,,,,,,3.09,0.01,-2.02,0.02,-1837,52,-8791.9385,3.0052,2084.2391,1.4151,-2097.485,2.659,7625.9385,0.1767,7340.434,0.8038,8049.4438,0.008,177943708.3,1.519,-52435.366,1.415,N,1934,31-May-08,E. Achterberg and  O.A. Capurro and  G.V. Marti,10/18/23
72,107,Hf,5.3408,0.0031,13.62,0.11,,0,,,9/2+,STABLE,,,,,,,,,,,,,,,,-0.6389,0.0014,3.79,0.03,-105.5801,0.4088,-7936,52,1807.6045,1.4159,-1404.023,5.341,6098.9886,0.0768,7414.1266,2.0552,8038.5474,0.0079,178945825.7,1.52,-50463.036,1.416,N,1934,15-Nov-08,Coral M. BAGLIN,10/18/23
72,108,Hf,5.347,0.0032,35.08,0.33,,0,,,0+,STABLE,,,,,,,,,,,,,,,,8.7,1,-2,0.02,-845.8453,2.3472,-7493.338,0.4358,1286.9306,1.4215,-3103,70.7,7387.7579,0.151,8009.434,5.0642,8034.9319,0.0079,179946559.5,1.525,-49779.476,1.421,N,1934,1-Feb-15,E.A. MCCUTCHAN,10/18/23
73,108,Ta,5.3507,0.0034,99.98799,0.00032,,0,,,7/2+,STABLE,,,,,,,,,,,,,,,,2.365,0.004,3.17,0.02,-205.1193,1.9495,-6874.1392,1.9429,1519.9228,1.8483,-1036.106,2.123,7576.7514,1.3379,5948.5591,1.9285,8023.405,0.0087,180947998.5,1.692,-48439.064,1.576,N,1932,31-Aug-05,S. -C. WU,10/18/23
74,108,W,5.3559,0.0017,26.5,0.16,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.512,0.025,-2.1,0.4,-2800,101.9804,-9800.0503,12.5401,1764.3059,1.5633,-1815.459,1.745,8083.5172,1.5934,7096.0509,1.5265,8018.3096,0.0041,181948205.6,0.799,-48246.144,0.745,N,1930,15-Jul-15,BALRAJ SINGH,10/18/23
74,110,W,5.3658,0.0023,30.64,0.02,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.578,0.014,-1.9,0.2,-1485.6333,4.1971,-7967.1081,8.001,1649.1074,1.5668,-2866,26,7411.1081,0.1293,7700.8772,1.543,8005.0777,0.004,183950933.2,0.792,-45705.453,0.738,N,1930,1-Oct-09,CORAL M. BAGLIN,10/18/23
74,112,W,5.3743,0.0026,28.43,0.19,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.621,0.017,-1.6,0.3,-581.2819,1.2386,-6760.8728,1.2382,1116.118,6.2789,-3901,60,7192.0492,1.1575,8403.2022,14.1894,7988.6026,0.0065,185954365.1,1.302,-42508.602,1.213,N,1930,1-Mar-22,J. C. Batchelder and A. M. Hurst and  M. S. Basunia,10/18/23
75,110,Re,5.3596,0.0172,37.4,0.05,,0,,,5/2+,STABLE,,,,,,,,,,,,,,,,3.176,0.003,2.07,0.05,-1013.1393,0.419,-7637.8002,0.4808,2195.1007,1.631,-431.176,1.104,7670.5462,4.0918,5402.5658,0.6613,7991.0101,0.0044,184952958.3,0.879,-43819.047,0.82,N,1931,1-Nov-05,S. -C. WU,10/18/23
76,111,Os,5.3933,0.0018,1.96,0.17,,0,,,1/2-,STABLE,,,,,,,,,,,,,,,,0.06442,0.00007,,,-1669.6385,27.9545,-10117.9828,16.542,2721.7317,0.8702,-2.467,1.042,6290.3015,0.5218,6580.6659,0.862,7973.7814,0.0039,186955749.6,0.791,-41219.015,0.737,N,1931,1-Nov-08,M. S. Basunia,10/18/23
76,112,Os,5.3993,0.0011,13.24,0.27,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.63,0.03,-1.46,0.04,-2792.3457,9.4164,-9659.2427,27.9545,2143.2356,0.8641,-2120.421,1.041,7989.6042,0.1466,7209.7239,0.1466,7973.8656,0.0039,187955837.3,0.788,-41137.301,0.734,N,1931,1-Feb-18,F.G. KONDEV and  S. JUUTINEN and  D.J. HARTLEY,10/18/23
76,113,Os,5.4016,0.0012,16.15,0.23,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,0.6576,0.0007,0.86,0.03,-537.1494,12.563,-8713.1642,9.4183,1976.1535,0.8529,-1007.705,8.218,5920.8185,0.4479,7258.8924,0.4638,7963.0029,0.0035,188958145.9,0.715,-38986.802,0.666,N,1931,15-Apr-17,T.D. JOHNSON and  BALRAJ SINGH,10/18/23
76,114,Os,5.4062,0.0013,26.26,0.2,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.69,0.03,-1.18,0.03,-1954.2108,1.2131,-8329.491,12.5618,1375.8612,1.1729,-3124.81,4.91,7792.3416,0.1873,8017.6995,8.165,7962.1047,0.0034,189958445.4,0.697,-38707.825,0.65,N,1931,15-Oct-20,Balraj Singh and {+1} and Jun Chen{+2},10/18/23
76,116,Os,5.4126,0.0015,40.78,0.32,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.79,0.02,-0.96,0.03,-1046.6722,2.3962,-7244.7947,2.3965,360.6614,3.7645,-4293.475,70.832,7558.3821,2.2238,8820.8662,10,7948.526,0.0121,191961478.8,2.484,-35882.303,2.314,N,1931,15-Jun-12,Coral M. Baglin,10/18/23
77,114,Ir,5.3968,0.1061,37.3,0.2,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.1502,0.0006,0.816,0.009,-1010.4903,3.636,-7473.6408,1.2182,2082.8062,1.241,-313.587,1.466,8026.5301,0.4,5289.9723,1.1452,7948.1144,0.0069,190960591.5,1.406,-36708.826,1.31,N,1935,1-Dec-06,V.R. Vanin et al.,10/18/23
77,116,Ir,5.4032,0.1061,62.7,0.2,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.163,0.0006,0.751,0.009,-56.6276,0.2997,-6319.0973,2.2826,1017.8763,8.2476,-1141.904,2.673,7771.9919,0.1997,5942.9726,2.3955,7938.1346,0.0069,192962923.8,1.425,-34536.305,1.327,N,1935,31-Mar-17,M. Shamsuzzoha Basunia,10/18/23
78,114,Pt,5.4169,0.0028,0.782,0.024,,0,,,0+,STABLE,,,,,,,,,,,,,,,,3.4,0.8,0.6,0.2,-3516.3415,15.6174,-10561.933,5.556,2423.86,2.5347,-1452.894,2.886,8661.5073,2.8735,6868.67,2.276,7942.4923,0.0134,191961042.7,2.758,-36288.525,2.57,N,1935,15-Jun-12,Coral M. Baglin,10/18/23
78,116,Pt,5.4236,0.0025,32.864,0.41,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.56,0.11,,,-2548.1518,2.1174,-9426.5903,8.6746,1522.8078,0.4791,-2228.325,1.421,8351.7426,1.285,7512.7679,1.2521,7935.942,0.0026,193962683.5,0.532,-34760.101,0.496,N,1935,3-Sep-21,Jun Chen and Balraj Singh,10/18/23
78,117,Pt,5.427,0.0026,33.775,0.24,,0,,,1/2-,STABLE,,,,,,,,,,,,,,,,0.6073,0.0007,1.4,0.6,-226.8175,0.9998,-8653.2467,2.1165,1176.4449,0.5047,-1101.56,1.42,6105.0949,0.1193,7551.0731,1.2622,7926.553,0.0026,194964794.3,0.54,-32793.878,0.503,N,1935,1-Mar-14,Huang Xiaolong and Kang Mengxiao,10/18/23
78,118,Pt,5.4307,0.0027,25.211,0.34,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-1505.8204,2.9605,-8148.7952,1.0081,812.8492,2.2784,-3209.016,38.417,7921.9778,0.1287,8241.1909,1.2696,7926.5297,0.0026,195964954.6,0.547,-32644.538,0.51,N,1935,1-Jan-06,Huang Xiaolong,10/18/23
78,120,Pt,5.4383,0.0032,7.356,0.13,,0,,,0+,STABLE,,,,,,2B-,,,2B-,,,,,,,0.63,0.02,0.42,0.12,-323.2251,2.0595,-6835.5844,2.058,106.2426,3.1433,-4194.018,200.011,7555.5613,2.0625,8928.8662,20,7914.1512,0.0106,197967896.7,2.254,-29904.018,2.1,N,1935,1-Dec-15,Huang Xiaolong and Kang Mengxiao,10/18/23
79,118,Au,5.4371,0.0038,100,,,0,,,3/2+,STABLE,,,,,,,,,,,,,,,,0.1452,0.0002,0.547,0.016,-599.5206,3.2022,-7385.1256,2.9408,971.6373,1.3523,-719.976,0.762,8072.3519,2.9391,5784.1845,0.5288,7915.6548,0.0028,196966570.1,0.581,-31139.751,0.542,N,1935,1-Jan-02,HUANG XIAOLONG and  ZHOU CHUNMEI,10/18/23
80,116,Hg,5.4385,0.0031,0.15,0.01,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-4329.3455,12.4627,-11741.97,11.5085,2037.6656,3.89,-687.226,4.178,8883.9201,23.326,6547.8541,3.1238,7914.37,0.015,195965833.4,3.163,-31825.944,2.946,N,1930,1-Jan-06,Huang Xiaolong,10/18/23
80,118,Hg,5.4463,0.0031,10.04,0.03,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.6,0.2,,,-3425.5625,7.559,-10671.4118,13.582,1380.8702,0.5871,-1373.522,0.708,8485.4026,3.1892,7103.535,0.4954,7911.5532,0.0023,197966769.2,0.491,-30954.315,0.458,N,1925,1-Dec-15,Huang Xiaolong and Kang Mengxiao,10/18/23
80,119,Hg,5.4474,0.0031,16.94,0.12,,0,,,1/2-,STABLE,,,,,,,,,,,,,,,,0.5039,0.0006,0.95,0.07,-1486.6695,27.9498,-10088.6316,7.5634,822.8961,0.6612,-452.314,0.755,6663.0691,0.5844,7254.2447,0.6118,7905.2794,0.0027,198968281,0.564,-29546.066,0.526,N,1925,15-Oct-06,BALRAJ SINGH,10/18/23
80,120,Hg,5.4551,0.0031,23.14,0.09,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.02,0.17,,,-2456.0403,5.7346,-9515.1886,27.9498,716.3547,0.6672,-2263.173,26.722,8028.5191,0.1133,7698.4863,0.6166,7905.8956,0.0027,199968326.9,0.568,-29503.267,0.53,N,1925,1-Aug-06,F.G. KONDEV and  S. LALKOVSKI,10/18/23
80,121,Hg,5.4581,0.0032,13.17,0.09,,0,,,3/2-,STABLE,,,,,,,,,,,,,,,,-0.558,0.0007,0.387,0.006,-481.7508,14.1815,-8686.6202,5.7653,332.3295,0.8386,-1261.824,3.296,6230.5799,0.5941,7711.4066,26.7237,7897.5607,0.0036,200970303.1,0.763,-27662.529,0.712,N,1925,20-Sep-22,F.G. KONDEV,10/18/23
80,122,Hg,5.4648,0.0033,29.74,0.13,,0,,,0+,STABLE,,,,,,,,,,,,,,,,1.4,0.3,0.87,0.13,-1364.8906,1.8348,-8235.8492,14.1808,133.7923,2.1877,-2992.328,23.298,7754.0984,0.1982,8233.5752,3.1409,7896.8505,0.0035,201970643.6,0.757,-27345.31,0.705,N,1920,1-May-07,S. ZHU and F.G. KONDEV,10/18/23
80,124,Hg,5.4744,0.0036,6.82,0.04,,0,,,0+,STABLE,,,,,,,,,,,,,,,,0.64,0.06,0.4,0.2,-344.0781,1.1876,-7000.1567,1.2048,-515.8858,20.1152,-4300.148,200.001,7492.263,1.6482,8835.6752,3.0422,7885.5455,0.0025,203973494,0.534,-24690.148,0.498,N,1920,1-Oct-09,C.J. CHIARA and F.G. KONDEV,10/18/23
81,122,Tl,5.4666,0.0027,29.515,0.044,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,1.616,0.002,,,-974.8265,6.4609,-7892.0191,3.9258,907.5272,1.2472,-492.106,2.007,7852.2081,1.6777,5704.9706,1.0822,7886.053,0.0058,202972344.1,1.257,-25761.309,1.171,N,1931,1-Mar-05,F.G. KONDEV,10/18/23
81,124,Tl,5.4759,0.0026,70.485,0.044,,0,,,1/2+,STABLE,,,,,,,,,,,,,,,,1.632,0.002,0.74,0.15,-50.6402,0.5033,-6782.3052,0.4973,154.9875,3.2729,-1533.083,3.859,7546.0504,0.4796,6419.6254,1.2706,7878.3946,0.006,204974427.3,1.33,-23820.802,1.239,N,1931,20-Apr-20,F.G. KONDEV,10/18/23
82,124,Pb,5.4902,0.0014,24.1,3,,0,,,0+,STABLE,,,,,,,,,,,,,,,,-0.152,0.003,0.05,0.09,-3757.3057,7.5461,-10791.255,4.8197,1134.8875,1.0497,-1532.213,1.721,8086.6623,0.0599,7253.6752,0.505,7875.362,0.0056,205974465.2,1.228,-23785.506,1.144,N,1927,31-Jan-08,F.G. KONDEV,10/18/23
82,125,Pb,5.4943,0.0014,22.1,5,,0,,,1/2-,STABLE,,,,,,,,,,,,,,,,0.5906,0.0004,,,-2397.414,2.1175,-10495.0859,7.5467,392.3186,1.2726,-1417.532,5.559,6737.7802,0.0953,7487.646,0.6189,7869.8664,0.0055,206975896.8,1.231,-22451.968,1.147,N,1927,1-Aug-10,F.G. KONDEV and  S. LALKOVSKI,10/18/23
82,126,Pb,5.5012,0.0013,52.4,7,,0,,,0+,STABLE,,,,,,,,,,,,,,,,,,,,-2878.368,2.0127,-9765.2826,2.1181,516.7129,1.1821,-4998.398,2.181,7367.8686,0.052,8003.0539,5.4026,7867.453,0.0055,207976652,1.232,-21748.519,1.148,N,1927,1-Jun-07,M. J. MARTIN,10/18/23